Start,Stop,Year,Month,Temperature,Quality
1992-06-01 00:00:01,1992-07-01 00:00:00,1992,06,19.0,Y
1992-07-01 00:00:01,1992-08-01 00:00:00,1992,07,18.4,Y
1992-08-01 00:00:01,1992-09-01 00:00:00,1992,08,16.4,Y
1992-09-01 00:00:01,1992-10-01 00:00:00,1992,09,13.4,Y
1992-10-01 00:00:01,1992-11-01 00:00:00,1992,10,5.5,Y
1992-11-01 00:00:01,1992-12-01 00:00:00,1992,11,4.4,Y
1992-12-01 00:00:01,1993-01-01 00:00:00,1992,12,2.8,Y
1993-01-01 00:00:01,1993-02-01 00:00:00,1993,01,2.2,Y
1993-02-01 00:00:01,1993-03-01 00:00:00,1993,02,1.1,Y
1993-03-01 00:00:01,1993-04-01 00:00:00,1993,03,2.9,Y
1993-04-01 00:00:01,1993-05-01 00:00:00,1993,04,8.7,Y
1993-05-01 00:00:01,1993-06-01 00:00:00,1993,05,14.6,Y
1993-06-01 00:00:01,1993-07-01 00:00:00,1993,06,14.6,Y
1993-07-01 00:00:01,1993-08-01 00:00:00,1993,07,15.0,Y
1993-08-01 00:00:01,1993-09-01 00:00:00,1993,08,14.6,Y
1993-09-01 00:00:01,1993-10-01 00:00:00,1993,09,10.8,Y
1993-10-01 00:00:01,1993-11-01 00:00:00,1993,10,7.4,Y
1993-11-01 00:00:01,1993-12-01 00:00:00,1993,11,2.4,Y
1993-12-01 00:00:01,1994-01-01 00:00:00,1993,12,1.4,Y
1994-01-01 00:00:01,1994-02-01 00:00:00,1994,01,1.6,Y
1994-02-01 00:00:01,1994-03-01 00:00:00,1994,02,-3.5,Y
1994-03-01 00:00:01,1994-04-01 00:00:00,1994,03,2.7,Y
1994-04-01 00:00:01,1994-05-01 00:00:00,1994,04,8.0,Y
1994-05-01 00:00:01,1994-06-01 00:00:00,1994,05,12.3,Y
1994-06-01 00:00:01,1994-07-01 00:00:00,1994,06,13.8,Y
1994-07-01 00:00:01,1994-08-01 00:00:00,1994,07,21.2,Y
1994-08-01 00:00:01,1994-09-01 00:00:00,1994,08,18.3,Y
1994-09-01 00:00:01,1994-10-01 00:00:00,1994,09,12.7,Y
1994-10-01 00:00:01,1994-11-01 00:00:00,1994,10,7.5,Y
1994-11-01 00:00:01,1994-12-01 00:00:00,1994,11,5.6,Y
1994-12-01 00:00:01,1995-01-01 00:00:00,1994,12,4.1,Y
1995-01-01 00:00:01,1995-02-01 00:00:00,1995,01,-0.5,Y
1995-02-01 00:00:01,1995-03-01 00:00:00,1995,02,3.3,Y
1995-03-01 00:00:01,1995-04-01 00:00:00,1995,03,3.1,Y
1995-04-01 00:00:01,1995-05-01 00:00:00,1995,04,6.3,Y
1995-09-01 00:00:01,1995-10-01 00:00:00,1995,09,12.9,G
1995-10-01 00:00:01,1995-11-01 00:00:00,1995,10,11.0,Y
1995-11-01 00:00:01,1995-12-01 00:00:00,1995,11,2.3,Y
1995-12-01 00:00:01,1996-01-01 00:00:00,1995,12,-2.2,Y
1996-01-01 00:00:01,1996-02-01 00:00:00,1996,01,-2.3,Y
1996-02-01 00:00:01,1996-03-01 00:00:00,1996,02,-4.0,Y
1996-03-01 00:00:01,1996-04-01 00:00:00,1996,03,0.7,Y
1996-04-01 00:00:01,1996-05-01 00:00:00,1996,04,7.0,Y
1996-05-01 00:00:01,1996-06-01 00:00:00,1996,05,9.3,Y
1996-06-01 00:00:01,1996-07-01 00:00:00,1996,06,14.6,Y
1996-07-01 00:00:01,1996-08-01 00:00:00,1996,07,15.8,Y
1996-08-01 00:00:01,1996-09-01 00:00:00,1996,08,18.8,Y
1996-09-01 00:00:01,1996-10-01 00:00:00,1996,09,11.1,Y
1996-10-01 00:00:01,1996-11-01 00:00:00,1996,10,9.8,Y
1996-11-01 00:00:01,1996-12-01 00:00:00,1996,11,4.8,Y
1996-12-01 00:00:01,1997-01-01 00:00:00,1996,12,-1.9,Y
1997-01-01 00:00:01,1997-02-01 00:00:00,1997,01,-1.5,Y
1997-02-01 00:00:01,1997-03-01 00:00:00,1997,02,1.8,Y
1997-03-01 00:00:01,1997-04-01 00:00:00,1997,03,3.2,Y
1997-04-01 00:00:01,1997-05-01 00:00:00,1997,04,5.5,Y
1997-05-01 00:00:01,1997-06-01 00:00:00,1997,05,10.2,Y
1997-06-01 00:00:01,1997-07-01 00:00:00,1997,06,16.7,Y
1997-07-01 00:00:01,1997-08-01 00:00:00,1997,07,19.0,Y
1997-08-01 00:00:01,1997-09-01 00:00:00,1997,08,20.9,Y
1997-09-01 00:00:01,1997-10-01 00:00:00,1997,09,13.9,Y
1997-10-01 00:00:01,1997-11-01 00:00:00,1997,10,6.6,Y
1997-11-01 00:00:01,1997-12-01 00:00:00,1997,11,3.6,Y
1997-12-01 00:00:01,1998-01-01 00:00:00,1997,12,1.5,Y
1998-01-01 00:00:01,1998-02-01 00:00:00,1998,01,1.7,Y
1998-02-01 00:00:01,1998-03-01 00:00:00,1998,02,4.2,Y
1998-03-01 00:00:01,1998-04-01 00:00:00,1998,03,2.8,Y
1998-04-01 00:00:01,1998-05-01 00:00:00,1998,04,6.3,Y
1999-04-01 00:00:01,1999-05-01 00:00:00,1999,04,8.2,Y
1999-05-01 00:00:01,1999-06-01 00:00:00,1999,05,10.5,Y
1999-06-01 00:00:01,1999-07-01 00:00:00,1999,06,14.6,Y
